City_Name,State,Year,Population,Job_Postings,College_Count,Skill_Center_Count,Green_Cover_Percentage,Internet_Penetration_Rate,Startup_Count,Road_Connectivity_Score,Public_Transport_Availability,Affordability_Index,Opportunity_Access_Score
Rajahmundry,Andhra Pradesh,2022,1768515,17392,30,21,40.35,66.57,695,67.99,23.32,22.07,63.36
Jamnagar,Gujarat,2025,1165080,6460,10,39,17.87,52.4,843,97.5,13.18,39.14,43.04
Durgapur,West Bengal,2022,160777,23049,58,1,30.8,58.85,412,55.4,35.0,81.26,89.57
Tiruchirappalli,Tamil Nadu,2025,1135541,27385,88,36,51.14,93.02,161,30.07,49.33,22.2,61.45
Mysuru,Karnataka,2024,1583145,23147,44,40,50.87,41.84,721,42.17,92.29,87.24,59.08
Guntur,Andhra Pradesh,2021,596632,13341,26,3,22.74,67.6,723,46.07,12.61,43.93,16.26
Dehradun,Uttarakhand,2021,909091,22776,37,7,25.67,77.22,256,56.33,5.42,58.78,75.35
Warangal,Telangana,2022,392751,5044,59,45,29.52,92.22,703,70.89,65.26,87.23,9.24
Rajahmundry,Andhra Pradesh,2025,1574403,22339,43,31,15.91,88.96,638,29.65,59.72,84.52,38.54
Silchar,Assam,2020,1968865,308,76,17,23.7,41.48,468,23.08,20.58,22.19,38.16
Amravati,Maharashtra,2022,1222554,9285,36,20,56.34,86.39,139,68.16,77.96,40.94,14.45
Ujjain,Madhya Pradesh,2024,754381,48978,4,46,20.85,49.41,129,57.49,40.46,49.21,54.96
Ujjain,Madhya Pradesh,2024,1113144,5730,67,18,20.56,41.16,614,39.35,38.55,28.6,99.85
Tiruchirappalli,Tamil Nadu,2020,1702098,547,13,21,32.17,40.48,719,82.35,24.99,14.01,31.59
Silchar,Assam,2024,1753059,8809,48,43,30.56,79.05,760,47.52,25.98,5.22,27.95
Jalandhar,Punjab,2021,1950511,11506,14,35,42.81,47.5,149,2.01,44.76,98.62,63.39
Warangal,Telangana,2023,1244390,38076,10,38,45.81,75.83,344,26.52,6.89,75.5,58.55
Puducherry,Puducherry,2023,247688,42582,93,43,16.94,86.67,786,82.56,32.09,79.89,67.78
Kohima,Nagaland,2025,776425,49394,48,6,41.79,68.45,757,29.47,3.66,87.98,82.5
Amravati,Maharashtra,2021,1785953,28655,86,47,13.94,63.31,681,71.79,17.18,45.75,14.8
Ujjain,Madhya Pradesh,2022,720890,18390,84,5,13.78,49.17,248,64.22,0.13,71.11,71.27
Nellore,Andhra Pradesh,2023,721593,34996,92,44,22.77,72.87,150,90.68,8.74,41.15,46.54
Vellore,Tamil Nadu,2025,521723,48555,41,48,55.49,92.83,804,0.26,63.0,41.25,50.51
Port Blair,Andaman and Nicobar Islands,2020,1063610,18951,34,18,13.15,74.24,981,48.4,45.96,69.14,0.27
Gangtok,Sikkim,2022,1672244,39833,14,15,32.86,56.54,747,33.68,6.85,80.28,80.7
Ranchi,Jharkhand,2020,786622,36949,10,18,30.63,72.76,974,62.18,25.87,22.51,2.12
Aizawl,Mizoram,2025,1776377,49664,3,34,12.77,40.62,657,20.26,88.76,28.85,33.12
Puducherry,Puducherry,2023,1763717,48996,74,14,24.74,87.28,802,84.56,71.35,67.03,3.06
Kozhikode,Kerala,2021,1053953,33182,7,7,49.07,61.41,539,2.86,4.02,7.95,27.63
Vijayawada,Andhra Pradesh,2021,370089,5189,71,16,56.42,44.67,971,62.66,57.17,15.4,85.23
Bilaspur,Chhattisgarh,2025,1563216,17793,66,49,55.6,71.8,849,25.94,90.45,30.84,69.85
Kolhapur,Maharashtra,2022,793167,25423,4,21,21.06,66.44,519,6.02,92.24,88.88,50.61
Tirupati,Andhra Pradesh,2021,1871474,24488,24,22,53.13,44.77,860,3.01,59.27,55.67,84.08
Meerut,Uttar Pradesh,2021,1292038,22562,68,2,52.61,50.0,52,87.37,7.5,55.79,11.5
Tirupati,Andhra Pradesh,2023,1973203,45604,74,33,52.96,44.45,561,17.39,26.11,89.84,62.63
Imphal,Manipur,2022,744934,38186,47,21,24.12,55.88,244,93.17,57.81,51.19,97.57
Ranchi,Jharkhand,2021,1674580,24281,34,26,25.18,77.07,415,24.9,5.66,13.19,90.82
Gangtok,Sikkim,2025,759209,40837,98,31,40.06,66.6,313,40.9,47.67,10.56,10.65
Tumkur,Karnataka,2021,1679417,8338,93,13,42.79,46.43,487,33.36,45.23,4.73,61.98
Tumkur,Karnataka,2025,1255582,24140,26,38,42.37,66.94,410,21.5,57.18,68.96,38.66
Ujjain,Madhya Pradesh,2023,604107,24721,2,14,32.83,86.36,887,45.65,18.06,65.76,59.67
Saharanpur,Uttar Pradesh,2021,1749540,49942,10,49,29.96,85.35,326,91.6,18.34,17.36,47.96
Vellore,Tamil Nadu,2022,507763,24496,61,42,46.15,83.32,725,58.98,38.83,98.39,6.62
Salem,Tamil Nadu,2023,1433576,47574,36,28,46.99,41.77,631,21.38,18.81,95.34,81.77
Saharanpur,Uttar Pradesh,2023,345358,35301,80,35,38.34,64.97,282,64.65,76.59,73.85,47.57
Tirupati,Andhra Pradesh,2025,382936,1930,90,23,57.97,71.96,555,90.16,84.29,16.76,36.62
Puducherry,Puducherry,2024,1302016,35239,3,30,37.86,63.48,43,90.65,7.24,60.44,76.98
Port Blair,Andaman and Nicobar Islands,2021,402686,21233,58,31,52.79,86.03,953,13.07,61.09,68.81,70.29
Shillong,Meghalaya,2020,1257696,35817,12,24,21.54,80.2,211,76.29,34.0,10.66,68.26
Amravati,Maharashtra,2025,1469145,418,9,37,18.73,81.79,721,67.14,31.0,68.73,43.78
Aligarh,Uttar Pradesh,2024,144228,31046,64,44,50.56,92.45,295,54.62,57.69,65.11,0.25
Puducherry,Puducherry,2024,395979,1132,98,35,19.33,42.03,946,36.88,24.72,96.41,26.42
Aizawl,Mizoram,2025,1663902,38970,8,5,10.1,83.66,635,53.44,78.87,94.39,21.6
Puducherry,Puducherry,2021,1534404,41034,42,6,24.61,54.77,406,17.48,15.81,55.55,83.5
Rohtak,Haryana,2022,1544007,19740,17,26,12.02,60.19,421,22.14,37.81,85.35,89.14
Solapur,Maharashtra,2020,160683,5752,79,28,12.88,73.45,755,78.77,50.6,48.81,36.25
Salem,Tamil Nadu,2024,1375552,45580,37,44,47.21,82.72,625,77.88,27.45,9.79,23.52
Bhavnagar,Gujarat,2025,417643,16313,97,7,25.52,84.02,836,2.0,93.0,62.74,82.85
Hubli,Karnataka,2024,1270819,26291,75,15,35.37,65.95,768,6.23,68.06,28.89,7.46
Rohtak,Haryana,2024,418252,34377,70,4,40.44,53.13,136,1.33,25.97,46.78,69.4
Kolhapur,Maharashtra,2020,1407065,9056,48,5,14.55,58.28,562,80.79,69.06,11.15,48.88
Kozhikode,Kerala,2021,1164484,5629,89,2,35.15,91.73,470,92.65,5.6,71.74,33.3
Agartala,Tripura,2023,1012878,37713,53,21,16.17,79.02,759,47.76,33.71,90.88,45.08
Ujjain,Madhya Pradesh,2025,255362,15115,67,20,47.16,52.27,471,87.41,39.22,81.14,25.88
Amravati,Maharashtra,2025,822563,46963,59,34,20.65,79.02,481,63.05,31.65,73.64,4.59
Vijayawada,Andhra Pradesh,2024,1505923,42678,10,7,59.71,55.64,780,21.7,39.91,2.57,40.14
Solapur,Maharashtra,2022,847476,31583,90,13,36.24,46.59,665,98.71,11.95,27.24,68.25
Kakinada,Andhra Pradesh,2022,1656321,48112,50,44,31.54,93.48,92,91.13,12.66,16.93,66.93
Kolhapur,Maharashtra,2022,1708583,10258,31,32,20.69,40.14,706,90.47,9.22,45.23,37.76
Muzaffarpur,Bihar,2022,373118,2500,75,7,51.45,66.93,956,57.09,66.55,50.02,52.17
Gangtok,Sikkim,2020,731485,29774,53,4,10.14,73.66,29,93.55,67.61,51.87,88.2
Solapur,Maharashtra,2023,1541803,9708,85,30,32.3,91.45,260,42.35,84.78,83.84,18.51
Cuttack,Odisha,2022,1950994,28677,42,16,40.6,85.4,275,13.65,85.9,11.18,8.82
Kakinada,Andhra Pradesh,2024,1300541,3046,11,17,43.35,70.72,44,78.19,4.42,11.89,51.51
Muzaffarpur,Bihar,2024,730927,19188,95,1,57.29,48.29,781,63.85,38.44,17.12,88.76
Thanjavur,Tamil Nadu,2025,779633,412,89,45,12.85,45.87,607,8.57,17.96,24.1,96.61
Udaipur,Rajasthan,2023,250852,4677,22,21,44.21,67.65,558,15.46,16.39,58.39,33.35
Salem,Tamil Nadu,2024,1449527,40168,61,47,10.29,67.44,948,29.86,87.45,63.49,0.14
Agartala,Tripura,2024,1208241,24688,33,15,57.55,87.97,89,10.02,62.34,46.85,62.87
Jalandhar,Punjab,2021,517751,32285,32,19,22.45,69.0,583,28.35,52.8,68.23,12.52
Tirupati,Andhra Pradesh,2021,1900410,12300,39,27,11.08,47.83,651,72.83,86.6,39.29,70.66
Aizawl,Mizoram,2024,1751474,236,41,31,58.66,41.59,790,43.15,86.37,69.02,65.82
Kakinada,Andhra Pradesh,2024,1511910,12451,40,27,53.6,61.92,941,47.3,73.67,74.36,49.05
Warangal,Telangana,2023,1987747,34073,29,28,24.98,47.53,919,67.07,96.48,99.92,95.29
Itanagar,Arunachal Pradesh,2025,1590707,48993,94,9,53.13,92.35,78,7.32,73.81,96.52,64.83
Kolhapur,Maharashtra,2021,770274,31175,20,47,48.41,75.36,128,71.54,17.97,39.94,29.24
Thanjavur,Tamil Nadu,2022,604216,29289,24,13,34.18,67.88,161,31.47,34.27,25.22,43.44
Bhavnagar,Gujarat,2023,1689323,31288,28,2,55.23,73.52,306,61.23,8.97,71.03,39.01
Gangtok,Sikkim,2021,728906,38532,81,37,33.03,72.46,583,4.22,99.58,35.92,47.08
Tirupati,Andhra Pradesh,2021,745209,21925,51,43,38.48,76.11,834,46.14,53.18,26.32,17.83
Itanagar,Arunachal Pradesh,2024,1391905,26622,75,21,13.8,70.87,477,99.68,37.58,88.33,16.92
Ujjain,Madhya Pradesh,2023,416572,27254,94,36,46.01,87.72,845,26.03,48.95,6.13,9.57
Tumkur,Karnataka,2024,265969,36779,53,22,33.3,47.82,646,92.21,66.5,17.6,75.85
Silchar,Assam,2021,1978916,27817,89,28,16.77,81.36,730,9.65,91.85,66.87,24.71
Rajahmundry,Andhra Pradesh,2022,995598,17959,28,4,59.52,40.68,639,61.37,8.0,6.54,30.5
Vijayawada,Andhra Pradesh,2022,1475308,9637,92,14,19.76,78.73,227,97.78,1.2,35.24,30.28
Ujjain,Madhya Pradesh,2020,490470,42342,64,13,12.6,81.16,603,49.0,36.39,24.51,16.87
Puducherry,Puducherry,2024,1995840,48056,37,34,21.3,65.27,450,86.55,47.77,99.64,73.71
Salem,Tamil Nadu,2025,841182,43235,5,1,33.18,79.51,23,1.18,30.92,87.02,53.96
Kolhapur,Maharashtra,2023,1208011,42020,7,26,53.66,70.44,212,27.86,80.14,71.86,57.97
Vijayawada,Andhra Pradesh,2024,1363496,2798,26,26,47.1,44.02,754,16.86,68.67,96.3,31.0
Puducherry,Puducherry,2023,1598157,30311,6,44,59.84,47.75,600,37.72,20.33,89.83,74.62
Panipat,Haryana,2024,641301,19766,11,10,45.79,75.2,592,76.98,6.47,18.78,92.53
Amravati,Maharashtra,2021,750236,35305,87,39,52.81,67.9,51,49.88,33.44,64.57,88.9
Saharanpur,Uttar Pradesh,2022,582504,28133,71,23,34.01,88.44,149,59.01,88.56,63.7,24.15
Bhavnagar,Gujarat,2020,1001294,25632,85,11,28.08,83.45,12,32.76,63.99,30.61,41.23
Tumkur,Karnataka,2020,230967,43518,67,17,16.55,53.31,904,80.56,53.76,79.39,12.81
Dehradun,Uttarakhand,2022,1195688,38719,57,38,24.2,75.58,101,12.01,65.43,48.66,75.83
Jalandhar,Punjab,2020,774335,4283,8,38,14.14,50.39,182,65.8,80.28,95.85,7.9
Muzaffarpur,Bihar,2024,1093502,22718,19,33,41.74,63.52,714,40.14,38.13,92.95,68.44
Tumkur,Karnataka,2024,177899,41028,83,31,25.96,70.69,369,64.76,95.94,27.23,94.65
Muzaffarpur,Bihar,2020,982048,43283,22,13,38.45,61.61,78,37.62,15.59,83.53,50.9
Rajahmundry,Andhra Pradesh,2021,920927,5976,51,49,11.5,76.2,192,4.61,46.92,58.12,62.45
Silchar,Assam,2021,1262479,43489,35,46,22.18,48.2,323,99.82,75.51,62.15,58.78
Panipat,Haryana,2021,515964,47275,32,44,53.31,85.85,80,56.08,91.98,91.43,1.08
Moradabad,Uttar Pradesh,2025,361564,46187,99,22,53.03,77.27,148,32.11,24.15,39.62,39.4
Kozhikode,Kerala,2020,1951323,24598,41,8,36.1,89.74,700,28.35,39.35,54.92,61.19
Nanded,Maharashtra,2025,515044,47960,52,7,44.42,94.41,314,21.54,1.02,31.6,25.95
Jabalpur,Madhya Pradesh,2024,1693872,26035,4,18,46.65,40.89,583,89.63,67.19,67.37,80.63
Tirupati,Andhra Pradesh,2020,402177,38365,21,22,10.4,88.71,254,69.94,79.02,12.42,13.5
Dehradun,Uttarakhand,2023,812719,28646,23,8,11.21,91.65,72,19.54,63.52,4.31,99.35
Nellore,Andhra Pradesh,2023,1206717,6129,11,19,22.86,65.96,386,54.6,64.46,73.63,18.71
Ujjain,Madhya Pradesh,2025,121940,32922,7,28,32.78,92.09,90,89.31,71.74,20.58,4.57
Kozhikode,Kerala,2023,634423,40242,22,26,22.47,67.2,751,89.36,65.02,73.89,62.17
Bhavnagar,Gujarat,2020,1481319,25081,2,15,59.81,61.12,245,19.21,53.0,0.75,3.15
Thanjavur,Tamil Nadu,2024,1427361,30711,42,38,57.15,90.33,445,77.92,41.1,9.19,61.85
Gangtok,Sikkim,2020,189156,19820,44,41,33.7,60.84,932,17.66,47.74,39.56,48.62
Hubli,Karnataka,2022,1901609,46888,4,14,35.94,78.66,393,60.13,26.6,76.75,9.85
Udaipur,Rajasthan,2025,253752,24486,79,38,39.18,71.3,256,90.96,69.39,38.18,23.86
Amravati,Maharashtra,2020,1481990,41596,67,7,30.34,89.43,759,54.76,73.15,34.73,73.3
Port Blair,Andaman and Nicobar Islands,2021,388889,29443,17,47,32.45,85.56,953,22.04,73.07,97.84,52.59
Shillong,Meghalaya,2023,875951,43748,51,29,21.9,76.96,696,30.6,15.53,62.34,58.62
Bilaspur,Chhattisgarh,2020,428537,28305,89,37,48.18,86.85,19,30.24,82.01,83.24,93.22
Durgapur,West Bengal,2022,1663245,40503,85,22,18.65,84.64,175,65.19,98.37,51.58,15.31
Jabalpur,Madhya Pradesh,2023,1905982,6646,32,13,17.56,94.14,474,10.92,20.76,97.05,13.47
Aizawl,Mizoram,2022,1482105,27957,15,48,39.65,76.19,706,42.11,44.68,11.25,63.92
Dehradun,Uttarakhand,2021,1752768,39260,6,43,17.05,78.47,797,10.6,54.34,27.5,72.63
Vijayawada,Andhra Pradesh,2024,1914885,23065,39,18,50.88,70.07,984,19.58,63.92,13.13,14.87
Shillong,Meghalaya,2020,318857,38986,57,21,46.32,81.27,684,34.35,6.14,11.81,9.28
Udaipur,Rajasthan,2022,1906198,15566,33,32,35.34,80.27,766,31.93,4.14,17.39,25.92
Jalandhar,Punjab,2023,1529864,23738,99,21,30.26,93.16,307,78.23,90.92,57.13,38.15
Cuttack,Odisha,2024,253088,15079,22,48,42.9,43.72,881,0.7,59.13,79.81,25.05
Salem,Tamil Nadu,2025,313665,36469,81,11,30.39,43.28,420,94.14,64.88,89.02,78.58
Agartala,Tripura,2024,705380,13011,71,43,33.05,92.5,684,44.7,63.87,50.99,17.45
Moradabad,Uttar Pradesh,2024,1402210,13746,89,32,40.53,40.07,665,45.94,72.89,38.72,10.07
Kozhikode,Kerala,2024,1645497,3866,98,3,45.28,68.17,145,53.59,12.29,82.42,22.17
Saharanpur,Uttar Pradesh,2022,1226083,34729,4,45,49.77,52.28,465,28.43,15.77,27.21,10.09
Port Blair,Andaman and Nicobar Islands,2020,1480298,20523,22,30,31.55,55.42,335,91.6,50.86,0.3,21.89
Aligarh,Uttar Pradesh,2020,1907614,17127,81,9,53.42,41.63,983,23.25,59.97,26.38,25.53
Gangtok,Sikkim,2025,730935,1596,8,12,34.55,78.78,866,18.18,0.27,48.8,92.86
Silchar,Assam,2025,1859993,38321,42,7,24.77,62.35,394,47.54,16.26,9.02,74.9
Dehradun,Uttarakhand,2024,663187,49803,55,36,55.41,48.87,637,25.32,54.35,7.87,53.16
Moradabad,Uttar Pradesh,2020,1347206,36956,66,18,32.31,71.76,752,83.6,85.96,93.93,28.83
Bilaspur,Chhattisgarh,2022,1460311,7800,74,48,22.49,76.0,860,60.83,73.98,35.44,46.61
Nanded,Maharashtra,2024,1864596,1450,70,8,31.68,63.24,810,90.11,49.54,70.76,46.27
Kozhikode,Kerala,2022,187272,18560,63,44,54.5,90.58,167,23.59,3.45,40.23,28.76
Madurai,Tamil Nadu,2022,578174,32294,42,8,13.55,49.64,29,12.95,21.98,74.73,27.46
Madurai,Tamil Nadu,2025,587202,32639,79,35,56.09,41.45,42,76.82,17.32,38.18,3.08
Kozhikode,Kerala,2024,1761007,24107,49,8,38.99,78.77,112,21.09,21.75,55.95,66.02
Kolhapur,Maharashtra,2022,1898688,2525,26,34,37.96,40.31,536,14.02,4.66,9.32,29.34
Udaipur,Rajasthan,2020,1706909,6766,8,21,16.2,65.86,499,77.76,71.51,53.98,38.34
Salem,Tamil Nadu,2023,227771,46238,67,30,20.82,41.48,901,29.82,4.25,71.13,73.44
Rohtak,Haryana,2024,1335177,19617,47,32,55.76,54.23,237,54.04,77.05,47.52,31.09
Muzaffarpur,Bihar,2023,380068,41753,77,24,24.6,43.82,176,6.48,50.1,91.97,60.75
Bilaspur,Chhattisgarh,2021,1464106,7503,18,34,19.69,86.6,775,82.3,90.73,74.59,28.25
Thanjavur,Tamil Nadu,2020,1346963,44890,37,24,42.18,44.75,245,21.82,61.18,21.45,11.65
Bilaspur,Chhattisgarh,2020,1566859,10051,36,16,23.32,88.73,947,37.86,21.87,19.88,85.62
Ranchi,Jharkhand,2022,1115908,1093,46,49,41.38,68.14,707,0.3,69.26,59.06,80.96
Kakinada,Andhra Pradesh,2020,1476699,48417,87,3,15.36,80.92,552,52.09,10.08,57.06,39.03
Warangal,Telangana,2023,979041,44327,92,7,24.67,56.18,934,34.11,73.16,93.18,97.43
Dehradun,Uttarakhand,2023,1957070,45423,87,45,57.42,81.86,864,60.5,22.0,51.78,57.93
Udaipur,Rajasthan,2022,1054473,45473,50,2,43.0,87.36,278,15.03,90.66,34.11,41.61
Kozhikode,Kerala,2020,159938,28160,48,49,55.36,87.29,20,50.45,32.29,97.69,72.57
Kohima,Nagaland,2024,1509375,35040,70,42,10.86,69.88,876,64.13,43.72,41.22,14.53
Gwalior,Madhya Pradesh,2025,225527,21335,81,25,20.93,45.19,328,21.82,49.38,0.09,86.27
Jabalpur,Madhya Pradesh,2020,422142,34219,68,32,51.0,72.4,562,19.67,62.61,82.26,36.21
Tiruchirappalli,Tamil Nadu,2022,1195808,4106,16,37,49.48,75.62,122,23.47,44.39,4.56,49.98
Kozhikode,Kerala,2023,313047,8899,23,9,28.8,56.63,209,64.39,55.22,22.93,83.16
Bhavnagar,Gujarat,2020,364554,44510,43,27,22.25,77.14,982,7.86,0.05,2.03,7.6
Dehradun,Uttarakhand,2020,107005,46877,68,42,58.51,48.84,768,98.1,77.84,86.06,0.6
Amravati,Maharashtra,2022,1141234,40316,25,11,33.28,94.72,633,15.28,36.28,71.38,3.18
Rajahmundry,Andhra Pradesh,2020,723581,1616,47,46,55.65,40.84,251,10.27,59.72,70.03,19.55
Nellore,Andhra Pradesh,2021,1884069,35557,14,37,55.82,51.82,320,34.17,76.19,48.5,63.79
Nanded,Maharashtra,2020,758408,37212,25,6,23.21,60.06,800,55.09,34.43,24.04,3.41
Kozhikode,Kerala,2023,433861,12208,43,10,55.83,92.26,451,16.3,31.69,59.19,65.88
Muzaffarpur,Bihar,2024,257973,11329,89,40,32.77,75.9,116,31.49,33.56,89.68,14.27
Rohtak,Haryana,2023,1126868,17519,85,11,48.48,66.74,797,17.19,86.82,41.86,96.31
Saharanpur,Uttar Pradesh,2025,126920,5996,42,11,45.12,68.07,253,51.51,32.54,28.26,92.88
Gangtok,Sikkim,2022,1987768,48562,90,10,36.11,56.93,586,47.53,31.62,49.25,53.28
Bhavnagar,Gujarat,2024,1083901,30467,51,30,58.43,42.11,109,37.18,67.52,63.69,33.01
Jalandhar,Punjab,2024,855314,48820,15,42,50.67,48.0,214,60.12,22.11,55.59,15.57
Durgapur,West Bengal,2023,145742,19256,33,40,41.13,64.51,6,49.83,24.77,78.28,70.9
Jamnagar,Gujarat,2022,311378,36748,32,41,20.57,40.69,810,17.71,95.17,9.0,36.71
Aligarh,Uttar Pradesh,2020,1314143,40271,2,34,25.01,65.27,21,40.22,27.03,21.55,35.55
Thanjavur,Tamil Nadu,2025,1406867,8612,89,21,50.16,54.68,871,29.15,40.27,68.99,93.94
Madurai,Tamil Nadu,2025,720861,14772,80,18,44.3,75.2,179,94.67,32.17,15.22,98.72
Aligarh,Uttar Pradesh,2022,1114044,48149,2,39,14.56,44.82,50,19.16,98.09,98.83,7.84
Muzaffarpur,Bihar,2024,1636857,2733,4,7,10.13,68.71,807,21.05,51.45,59.68,3.28
Thanjavur,Tamil Nadu,2024,1427121,35531,2,18,23.31,83.91,654,70.57,26.77,4.86,97.88
Hubli,Karnataka,2021,104017,2609,83,4,20.44,94.35,20,1.98,26.08,76.5,17.34
Cuttack,Odisha,2023,1329562,41577,41,7,48.39,92.9,410,37.83,98.35,72.32,29.95
Gangtok,Sikkim,2024,418725,17461,60,27,58.6,87.53,866,45.33,52.41,69.51,81.24
Solapur,Maharashtra,2022,154584,4773,53,24,52.07,61.55,712,46.24,84.75,2.71,20.92
Tumkur,Karnataka,2022,177766,11807,38,20,47.54,70.81,325,34.53,79.11,30.0,81.47
Thanjavur,Tamil Nadu,2022,835881,30022,65,1,27.78,48.81,261,40.69,23.74,57.17,78.34
Ranchi,Jharkhand,2024,643151,25923,34,45,41.2,41.93,766,59.42,35.33,4.19,41.35
Kohima,Nagaland,2024,515641,18645,88,13,48.86,54.21,706,53.91,75.71,38.22,13.64
Aizawl,Mizoram,2021,193006,47620,49,22,54.28,70.72,969,77.06,80.24,76.08,25.77
Hubli,Karnataka,2021,175696,18407,23,5,55.61,88.75,344,61.3,30.43,56.18,22.17
Warangal,Telangana,2022,311579,449,4,20,19.35,86.4,243,21.14,18.39,71.77,55.05
Puducherry,Puducherry,2021,417442,27882,33,15,37.78,85.59,78,66.94,10.87,99.5,16.1
Udaipur,Rajasthan,2020,634155,42737,99,31,51.82,60.73,803,57.55,11.03,35.21,81.24
Solapur,Maharashtra,2022,144237,24273,19,19,26.91,64.95,796,65.82,58.87,14.96,24.82
Tirupati,Andhra Pradesh,2023,123584,11020,88,44,43.44,81.57,332,22.39,22.16,11.9,64.96
Thanjavur,Tamil Nadu,2024,255033,44186,24,31,17.28,57.59,97,64.88,68.78,51.51,74.85
Vijayawada,Andhra Pradesh,2023,1652290,30642,12,15,51.23,61.39,732,16.55,36.87,5.02,63.99
Gwalior,Madhya Pradesh,2022,594616,24574,62,34,25.34,48.28,285,37.71,26.14,63.46,36.43
Mysuru,Karnataka,2021,513982,23089,14,8,24.03,61.8,510,31.32,16.32,57.74,21.49
Guntur,Andhra Pradesh,2022,1666945,38117,83,32,32.01,44.63,691,78.76,19.3,15.22,66.47
Tiruchirappalli,Tamil Nadu,2025,261156,36174,62,17,51.1,41.45,137,10.67,17.88,3.59,42.44
Bilaspur,Chhattisgarh,2023,1551702,30604,20,43,53.05,72.68,823,27.56,65.84,39.23,70.47
Gangtok,Sikkim,2023,389823,11258,96,39,21.22,70.36,828,33.63,87.27,95.19,56.05
Guntur,Andhra Pradesh,2024,1147701,49826,10,15,18.41,67.14,623,23.89,51.07,68.1,45.99
Agartala,Tripura,2021,1839923,41138,7,24,17.51,89.84,673,48.7,6.43,83.01,56.93
Muzaffarpur,Bihar,2022,1763932,2473,62,3,28.23,59.18,944,69.99,0.55,10.64,91.86
Bilaspur,Chhattisgarh,2023,1821107,12660,89,35,52.58,51.62,308,68.14,88.01,2.52,72.52
Cuttack,Odisha,2020,650464,47540,46,26,47.47,72.33,489,43.64,5.15,94.97,7.25
Tumkur,Karnataka,2022,1199055,7449,55,25,51.91,51.19,114,48.9,25.59,47.5,64.12
Kolhapur,Maharashtra,2025,329111,35713,35,7,51.16,68.27,874,50.27,47.57,46.06,11.08
Moradabad,Uttar Pradesh,2025,804870,1765,37,18,22.25,51.6,657,6.61,15.35,85.62,58.9
Bilaspur,Chhattisgarh,2022,456128,19329,59,8,13.73,89.65,89,30.16,93.05,32.07,54.03
Mysuru,Karnataka,2023,687765,27884,77,31,48.03,65.97,208,42.47,71.29,29.93,44.81
Vellore,Tamil Nadu,2025,1231220,28936,12,17,33.07,84.69,283,98.47,81.33,19.22,57.77
Gangtok,Sikkim,2021,1532171,39227,44,35,45.13,76.29,174,93.29,21.27,36.42,32.99
Kakinada,Andhra Pradesh,2023,1432908,12880,79,21,35.24,63.34,823,85.56,3.21,96.44,41.82
Kolhapur,Maharashtra,2023,1349658,8647,8,14,35.91,85.51,526,6.14,36.78,50.61,76.54
Kozhikode,Kerala,2024,1133068,166,81,40,57.02,77.14,775,75.93,14.14,3.1,68.53
Thanjavur,Tamil Nadu,2023,523994,41565,67,5,52.25,55.81,548,52.77,31.45,22.56,96.96
Silchar,Assam,2024,1681582,0,15,36,18.43,60.98,182,56.76,68.41,60.46,98.91
Visakhapatnam,Andhra Pradesh,2025,1687186,38885,86,17,19.63,62.15,695,46.58,31.53,35.67,40.58
Dehradun,Uttarakhand,2021,1160230,246,11,3,43.35,51.21,539,5.88,95.3,18.75,97.99
Rohtak,Haryana,2023,228881,14232,95,17,22.53,93.09,513,75.51,45.67,77.33,20.82
Moradabad,Uttar Pradesh,2023,1317346,5729,76,45,57.49,54.52,408,77.83,7.35,58.04,93.22
Kozhikode,Kerala,2023,516514,41893,64,36,16.44,57.75,118,98.61,88.91,67.81,26.17
Jalandhar,Punjab,2022,1851770,44733,59,35,45.49,58.04,783,16.11,78.18,70.05,8.84
Jalandhar,Punjab,2024,523800,42245,61,2,54.35,63.25,718,88.48,31.0,81.23,33.61
Saharanpur,Uttar Pradesh,2021,1688247,20894,99,41,15.66,88.07,723,50.16,2.82,47.26,89.88
Port Blair,Andaman and Nicobar Islands,2020,1746217,34283,82,33,42.55,61.53,395,55.71,3.62,23.33,70.48
Kohima,Nagaland,2025,595746,41379,22,8,30.25,45.28,67,54.18,55.06,95.34,87.79
Hubli,Karnataka,2020,1101695,23497,41,17,10.31,83.97,179,29.08,0.34,6.12,26.3
Tumkur,Karnataka,2024,461754,5332,24,38,30.55,57.4,711,28.39,73.51,18.31,33.84
Tirupati,Andhra Pradesh,2020,167933,15698,52,31,39.84,78.8,420,11.48,23.77,44.57,78.98
Udaipur,Rajasthan,2022,319970,46311,86,18,33.23,49.77,624,20.71,99.19,33.77,28.4
Kolhapur,Maharashtra,2024,1993569,16655,44,8,58.41,75.06,751,99.49,2.86,91.5,84.19
Dehradun,Uttarakhand,2025,473596,7184,65,20,40.91,83.38,129,57.62,17.91,14.08,65.41
Ujjain,Madhya Pradesh,2023,602840,4693,18,39,18.42,75.98,333,89.94,39.52,87.63,3.28
Gwalior,Madhya Pradesh,2025,738931,46201,93,41,40.8,94.4,558,98.07,69.51,68.67,28.62
Jalandhar,Punjab,2020,129223,49877,48,8,19.01,79.11,337,43.51,39.15,17.76,13.36
Nanded,Maharashtra,2025,1971986,29022,4,44,57.64,44.7,263,5.97,27.6,74.2,61.74
Durgapur,West Bengal,2021,924661,9677,93,45,23.42,77.78,611,80.77,93.83,45.52,8.58
Panipat,Haryana,2020,1603595,46146,47,9,53.38,70.33,136,17.41,10.6,23.96,31.39
